article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Barack Obama,534366,9.01628818732674e-05,https://en.wikipedia.org/wiki/Barack_Obama,1961,,https://commons.wikimedia.org/wiki/Special:FilePath/President Barack Obama.jpg,President of the United States from 2009 to 2017,"['politician', 'lawyer', 'political writer', 'community organizer', 'statesperson', 'jurist', 'podcaster', 'academic', 'memoirist']","['civil rights', 'constitutional law']",21.2998428,-157.8334591
Carl Linnaeus,5233,8.683666264159736e-05,https://en.wikipedia.org/wiki/Carl_Linnaeus,1707,1778,https://commons.wikimedia.org/wiki/Special:FilePath/Carl von Linné.jpg,"Swedish botanist, physician, and zoologist (1707–1778)","['geologist', 'professor', 'botanist', 'physician', 'autobiographer', 'biologist', 'mycologist', 'pteridologist', 'bryologist', 'zoologist', 'entomologist', 'ornithologist', 'naturalist', 'arachnologist', 'mineralogist']","['medicine', 'natural history', 'botany', 'natural science']",59.85805556,17.63333333
Napoleon,69880,8.403170245081305e-05,https://en.wikipedia.org/wiki/Napoleon,1769,1821,https://commons.wikimedia.org/wiki/Special:FilePath/François Gerard - Napoleon I in Coronation Robes.jpeg,"French military leader, French Emperor 1804–1814 and again in 1815","['politician', 'statesperson', 'military officer', 'art collector', 'emperor', 'sovereign', 'militant', 'military leader', 'monarch', 'army officer']",[],48.855,2.3125
Elizabeth II,12153654,7.98321366349883e-05,https://en.wikipedia.org/wiki/Elizabeth_II,1926,2022,https://commons.wikimedia.org/wiki/Special:FilePath/Queen Elizabeth II in March 2015.jpg,Queen of the United Kingdom from 1952 to 2022,"['monarch', 'auto mechanic', 'truck driver', 'art collector', 'aristocrat']",[],51.48361111111111,-0.606944444
Jesus,1095706,7.295124313696195e-05,https://en.wikipedia.org/wiki/Jesus,-7,33,https://commons.wikimedia.org/wiki/Special:FilePath/Spas vsederzhitel sinay.jpg,central figure of Christianity (6 or 4 BC – AD 30 or 33),"['preacher', 'prophet', 'carpenter', 'rabbi', 'thaumaturge', 'religious leader', 'healer', 'Messiah', 'preacher', 'teacher', 'intercession of saints', 'father of faith', 'tektōn', 'pastor']","['carpentry', 'Christian ministry']",31.77861111,35.22944444
George W. Bush,3414021,7.272324922133602e-05,https://en.wikipedia.org/wiki/George_W._Bush,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg,President of the United States from 2001 to 2009,"['politician', 'motivational speaker', 'autobiographer', 'painter', 'rugby union player', 'military officer', 'statesperson', 'businessperson', 'financier', 'governor']",[],41.30833333,-72.925
Franklin D. Roosevelt,10979,6.567598237510745e-05,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882,1945,https://commons.wikimedia.org/wiki/Special:FilePath/FDR 1944 Color Portrait.jpg,president of the United States from 1933 to 1945,"['lawyer', 'politician', 'statesperson', 'golfer', 'screenwriter']",[],41.768055555555556,-73.93483333
William Shakespeare,32897,6.259841690533519e-05,https://en.wikipedia.org/wiki/William_Shakespeare,1564,1616,https://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg,English playwright and poet (1564–1616),"['playwright', 'poet', 'stage actor', 'writer', 'actor', 'dramaturge']","['fiction', 'theatre', 'English drama', 'drama', 'poetry', 'acting']",52.1864,-1.7074
Aristotle,308,6.0142246380385794e-05,https://en.wikipedia.org/wiki/Aristotle,-384,-322,https://commons.wikimedia.org/wiki/Special:FilePath/Aristotle Altemps Inv8575.jpg,Classical Greek philosopher and polymath (384-322 BC),"['biologist', 'cosmologist', 'logician', 'zoologist', 'literary critic', 'mathematician', 'ethicist', 'epistemologist', 'political philosopher', 'polymath', 'philosopher of language', 'writer', 'philosopher', 'astronomer', 'geographer', 'teacher', 'tutor', 'ontologist', 'physicist']","['philosophy', 'natural philosophy']",40.59083333,23.79416667
Adolf Hitler,2731583,5.774640933640819e-05,https://en.wikipedia.org/wiki/Adolf_Hitler,1889,1945,https://commons.wikimedia.org/wiki/Special:FilePath/Hitler portrait crop.jpg,dictator of Germany from 1933 to 1945,"['soldier', 'painter', 'political writer', 'politician', 'military commander', 'writer']","['Nazism', 'Nazi propaganda', 'military', 'politics']",52.5125,13.3815
Bill Clinton,3356,5.627024285329538e-05,https://en.wikipedia.org/wiki/Bill_Clinton,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/Bill Clinton.jpg,President of the United States from 1993 to 2001,"['politician', 'lawyer', 'diplomat', 'autobiographer', 'writer', 'teacher', 'statesperson', 'saxophonist', 'governor', 'jurist']","['politics', 'jurisprudence']",33.667778,-93.592222
Ronald Reagan,25433,5.221153304705836e-05,https://en.wikipedia.org/wiki/Ronald_Reagan,1911,2004,https://commons.wikimedia.org/wiki/Special:FilePath/Official Portrait of President Reagan 1981.jpg,president of the United States from 1981 to 1989 and actor,"['television actor', 'film actor', 'politician', 'autobiographer', 'character actor', 'screenwriter', 'military officer', 'actor', 'trade unionist', 'announcer', 'statesperson', 'voice actor', 'diarist', 'lifeguard', 'anti-communist', 'game show host']",[],34.25951667,-118.8197444
Queen Victoria,47923,4.8739673081019206e-05,https://en.wikipedia.org/wiki/Queen_Victoria,1819,1901,https://commons.wikimedia.org/wiki/Special:FilePath/Queen Victoria by Bassano.jpg,Queen of the United Kingdom from 1837 to 1901,"['monarch', 'painter', 'writer', 'diarist', 'autobiographer', 'aristocrat']",[],51.474,-0.598349
Donald Trump,4848272,4.726901783387784e-05,https://en.wikipedia.org/wiki/Donald_Trump,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/Donald Trump official portrait.jpg,45th President of the United States of America from 2017 to 2021,"['business magnate', 'investor', 'restaurateur', 'politician', 'game show host', 'real estate entrepreneur', 'television producer', 'film producer', 'writer', 'actor', 'chief executive officer', 'conspiracy theorist', 'merchant', 'businessperson', 'entrepreneur']","['real property', 'government', 'television production', 'politics', 'commerce']",40.7005,-73.816
Richard Nixon,25473,4.522968225800108e-05,https://en.wikipedia.org/wiki/Richard_Nixon,1913,1994,"https://commons.wikimedia.org/wiki/Special:FilePath/Richard M. Nixon, ca. 1935 - 1982 - NARA - 530679.jpg",president of the United States from 1969 to 1974,"['politician', 'military officer', 'lawyer', 'autobiographer', 'statesperson']",[],33.88916667,-117.8194444
Joseph Stalin,15641,4.283805114023255e-05,https://en.wikipedia.org/wiki/Joseph_Stalin,1878,1953,https://commons.wikimedia.org/wiki/Special:FilePath/JStalin Secretary general CCCP 1942 flipped.jpg,leader of the Soviet Union from 1924 to 1953,"['politician', 'revolutionary', 'opinion journalist', 'statesperson', 'linguist']","['revolutionary', 'politician', 'opinion journalist']",55.75361111111111,37.61972222222222
Abraham Lincoln,307,4.230387630452581e-05,https://en.wikipedia.org/wiki/Abraham_Lincoln,1809,1865,https://commons.wikimedia.org/wiki/Special:FilePath/Abrahamlincoln.jpg,"president of the United States from 1861 to 1865 (American, 1809–1865)","['politician', 'postmaster', 'lawyer', 'statesperson', 'farmer', 'military officer', 'writer']",[],39.82333333,-89.65583333
Winston Churchill,33265,4.2269884545134985e-05,https://en.wikipedia.org/wiki/Winston_Churchill,1874,1965,https://commons.wikimedia.org/wiki/Special:FilePath/Sir Winston Churchill - 19086236948.jpg,"British statesman, soldier and writer (1874–1965)","['politician', 'journalist', 'painter', 'historian', 'autobiographer', 'screenwriter', 'biographer', 'statesperson', 'military officer', 'writer']",[],51.8303,-1.34972
Plato,22954,4.090165859281902e-05,https://en.wikipedia.org/wiki/Plato,-429,-347,https://commons.wikimedia.org/wiki/Special:FilePath/Plato Silanion Musei Capitolini MC1377.jpg,Greek philosopher (c. 427 – 348 BC),"['philosopher', 'epigrammatist', 'poet', 'writer', 'philosopher of law']","['philosophy', 'literature', 'epistemology', 'law', 'politics', 'education', 'family', 'War', 'friendship', 'love', 'ancient philosophy', 'classical antiquity']",37.98416666666667,23.728055555555557
George Washington,11968,4.0731972080251946e-05,https://en.wikipedia.org/wiki/George_Washington,1732,1799,https://commons.wikimedia.org/wiki/Special:FilePath/Gilbert Stuart Williamstown Portrait of George Washington.jpg,president of the United States from 1789 to 1797,"['politician', 'farmer', 'cartographer', 'geometer', 'engineer', 'statesperson', 'revolutionary', 'writer', 'army officer']",[],38.70777778,-77.08611111
John F. Kennedy,5119376,4.043362740781823e-05,https://en.wikipedia.org/wiki/John_F._Kennedy,1917,1963,"https://commons.wikimedia.org/wiki/Special:FilePath/John F. Kennedy, White House color photo portrait.jpg",President of the United States from 1961 to 1963,"['politician', 'journalist', 'statesperson', 'writer', 'naval officer', 'anti-communist']",[],38.87916666666667,-77.07222222
Muhammad,18934,3.773888083893163e-05,https://en.wikipedia.org/wiki/Muhammad,570,634,https://commons.wikimedia.org/wiki/Special:FilePath/Dark vignette Al-Masjid AL-Nabawi Door800x600x300.jpg,founder and main prophet of Islam (c. 570–632),"['herder', 'consignor', 'merchant', 'prophet', 'preacher', 'politician', 'military leader']",[],24.46757432797691,39.611388828849215
Alexander the Great,783,3.617967485755041e-05,https://en.wikipedia.org/wiki/Alexander_the_Great,-356,-323,https://commons.wikimedia.org/wiki/Special:FilePath/Alexander the Great mosaic (cropped).jpg,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC),"['politician', 'military leader', 'monarch']",[],31.1975,29.8925
Dwight D. Eisenhower,8182,3.580345543419935e-05,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1890,1969,"https://commons.wikimedia.org/wiki/Special:FilePath/Dwight D. Eisenhower, official photo portrait, May 29, 1959.jpg",president of the United States from 1953 to 1961,"['politician', 'writer', 'military officer', 'statesperson', 'military personnel', 'army officer']",['politics of the United States'],38.9122,-97.2108
Charles Darwin,8145410,3.574688462821942e-05,https://en.wikipedia.org/wiki/Charles_Darwin,1809,1882,https://commons.wikimedia.org/wiki/Special:FilePath/Charles Darwin portrait.jpg,English naturalist and biologist (1809–1882),"['geologist', 'explorer', 'travel writer', 'ethologist', 'naturalist', 'philosopher', 'writer', 'botanist']",['biology'],51.4994,-0.127367
Lyndon B. Johnson,54533,3.522947800261602e-05,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1908,1973,"https://commons.wikimedia.org/wiki/Special:FilePath/Lyndon B. Johnson, photo portrait, leaning on chair, color cropped.jpg",president of the United States from 1963 to 1969,"['politician', 'teacher', 'rancher', 'statesperson']","['gun control', 'politics', 'government']",30.239764,-98.610275
Thomas Jefferson,29922,3.48403192164479e-05,https://en.wikipedia.org/wiki/Thomas_Jefferson,1743,1826,"https://commons.wikimedia.org/wiki/Special:FilePath/Official Presidential portrait of Thomas Jefferson (by Rembrandt Peale, 1800)(cropped).jpg",president of the United States from 1801 to 1809,"['teacher', 'cryptographer', 'architect', 'lawyer', 'writer', 'diplomat', 'politician', 'philosopher', 'inventor', 'farmer', 'statesperson', 'archaeologist', 'jurist', 'paleontologist']","['agriculture', 'law', 'philosophy', 'diplomacy', 'architecture']",38.008482,-78.45579
Augustus,1273,3.451986116834421e-05,https://en.wikipedia.org/wiki/Augustus,-63,14,https://commons.wikimedia.org/wiki/Special:FilePath/Statue of the Emperor Octavian Augustus as Jupiter (6).png,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty,"['Ancient Roman politician', 'ancient Roman military personnel']",[],41.90611,12.47639
Theodore Roosevelt,30535,3.438085953089595e-05,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1858,1919,https://commons.wikimedia.org/wiki/Special:FilePath/Theodore Roosevelt by the Pach Bros.jpg,26th President of the United States from 1901 to 1909,"['explorer', 'historian', 'essayist', 'writer', 'politician', 'autobiographer', 'rancher', 'naturalist', 'statesperson', 'conservationist', 'ornithologist', 'diarist']",['politics of the United States'],40.8703,-73.5064
Pope John Paul II,23805,3.4227918412479154e-05,https://en.wikipedia.org/wiki/Pope_John_Paul_II,1920,2005,https://commons.wikimedia.org/wiki/Special:FilePath/Pope John Paul II smile.jpg,264th pope of the Catholic Church,"['Latin Catholic priest', 'poet', 'politician', 'writer', 'human rights activist', 'professor', 'philosopher', 'transitional deacon', 'latin catholic deacon', 'archbishop', 'Catholic bishop']","['Petrine ministry', 'poetry', 'drama', 'scientific writing']",41.90222222222222,12.453416666666667
Albert Einstein,736,3.377125207805641e-05,https://en.wikipedia.org/wiki/Albert_Einstein,1879,1955,https://commons.wikimedia.org/wiki/Special:FilePath/Albert Einstein Head.jpg,German-born theoretical physicist (1879–1955),"['theoretical physicist', 'philosopher of science', 'inventor', 'science writer', 'pedagogue', 'university teacher', 'physicist', 'philosopher', 'writer', 'scientist', 'mathematician', 'patent examiner', 'professor', 'pacifist']",['theoretical physics'],39.008804,-77.053402
George H. W. Bush,11955,3.337664076517059e-05,https://en.wikipedia.org/wiki/George_H._W._Bush,1924,2018,https://commons.wikimedia.org/wiki/Special:FilePath/George H. W. Bush presidential portrait (cropped).jpg,President of the United States from 1989 to 1993,"['politician', 'naval officer', 'baseball player', 'diplomat', 'aircraft pilot', 'entrepreneur', 'autobiographer', 'statesperson']","['politics', 'government']",30.5966,-96.3534
